,web-scraper-order,web-scraper-start-url,Book_name,price,condition,image-src
903,1543863142-2028,https://www.rulistings.com/Books,Sociology  10th edition,10,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/f1029ffc-6422-4c74-a4ee-ffae265f822e_1498863706288thumb.jpg
904,1543863142-1469,https://www.rulistings.com/Books,"Fluid Dynamics: Theory, Computation, and Numerical Simulation 2nd edition",140,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/50702c2a-423f-4f6b-a9cd-2bcbe657b5cf_1513885455045thumb.jpg
905,1543863142-2199,https://www.rulistings.com/Books,Foundations of Microeconomics  7th edition,40,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/b3a26c75-05e6-4151-9603-6154f106d6c3_1504652760126thumb.jpg
906,1543863142-2580,https://www.rulistings.com/Books,Gen Physics 1 and 2 Textbook 9th edition,80,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/bc26041a-4eb0-4f4e-9226-368c664c6ea4_1534199359244thumb.jpg
907,1543863142-1824,https://www.rulistings.com/Books,Effective Business and Professional Writing 3rd edition,85,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/64517e9a-3807-4025-9f60-5e801453452e_1534115395744thumb.jpg
908,1543863142-1656,https://www.rulistings.com/Books,The Tail of the Raccoon Secrets of Addiction  1st edition,75,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/a11ec6b7-f9c8-4040-89b7-9ab95a8d9cbd_1515985623177thumb.jpg
909,1543863142-2127,https://www.rulistings.com/Books,Chemical Principles for Organic Chemistry (Orgo) by Robert S Boikess AND Model Kit 1st edition,6,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/186928cd-e878-4b55-a5f4-10c8dd654661_1504810931321thumb.jpg
910,1543863142-2399,https://www.rulistings.com/Books,The New Humanities Reader 5th edition,100,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/9a33ab12-62fd-48e9-a780-e7d1ef12a2cb_1515185754583thumb.jpg
911,1543863142-1598,https://www.rulistings.com/Books,Communication and Human Behavior 6th edition,3,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/64be360c-baad-43cb-aa5f-7506ca108fe7_1517963909653thumb.jpg
912,1543863142-1983,https://www.rulistings.com/Books,Organic Chemistry 1 & 2 Bundle  7th edition,150,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/35dc476a-2194-499b-a922-f9fb5b2684ad_1505578400809thumb.jpg
913,1543863142-2094,https://www.rulistings.com/Books,Human Ecology 5th edition,75,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/f72ac2fb-4ef0-4376-a473-a6f4ddcfd2a7_1503968941707thumb.jpg
914,1543863142-2627,https://www.rulistings.com/Books,Intro to Management 1st edition,20,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/f9e3fc4e-777c-448f-9f97-d8ddaa41fcbc_1525631227694thumb.jpg
915,1543863142-2227,https://www.rulistings.com/Books,Integrated Chinese Level 2 Part 1 Textbook  3rd edition,1,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/caa762b2-c7ac-4676-b192-c6a9ee4a5bb3_1513885253187thumb.jpg
916,1543863142-1933,https://www.rulistings.com/Books,Statistics for Business and Economics 12th edition,95,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/536762e7-23ff-4e0a-9878-ad443b09d6c3_1536433930969thumb.jpg
